depth	slug_path	url
1	MIIIGModulConsent	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent?version=2026.0.0
2	MIIIGModulConsent/AnwendungsflleInformationsmodell	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/AnwendungsflleInformationsmodell?version=2026.0.0
2	MIIIGModulConsent/Beschreibung-Modul-Consent	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/Beschreibung-Modul-Consent?version=2026.0.0
2	MIIIGModulConsent/KontextimGesamtprojektBezgezuanderenModulen	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/KontextimGesamtprojektBezgezuanderenModulen?version=2026.0.0
2	MIIIGModulConsent/Referenzen	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/Referenzen?version=2026.0.0
2	MIIIGModulConsent/Release-Notes	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/Release-Notes?version=2026.0.0
2	MIIIGModulConsent/TechnischeImplementierung	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/TechnischeImplementierung?version=2026.0.0
3	MIIIGModulConsent/AnwendungsflleInformationsmodell/BeschreibungvonSzenarienfrdieAnwendungdesModuls	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/AnwendungsflleInformationsmodell/BeschreibungvonSzenarienfrdieAnwendungdesModuls?version=2026.0.0
3	MIIIGModulConsent/AnwendungsflleInformationsmodell/Datenstzeinkl.Beschreibungen	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/AnwendungsflleInformationsmodell/Datenstzeinkl.Beschreibungen?version=2026.0.0
3	MIIIGModulConsent/AnwendungsflleInformationsmodell/Fragebgen	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/AnwendungsflleInformationsmodell/Fragebgen?version=2026.0.0
3	MIIIGModulConsent/AnwendungsflleInformationsmodell/UML	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/AnwendungsflleInformationsmodell/UML?version=2026.0.0
3	MIIIGModulConsent/TechnischeImplementierung/FHIRProfile	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/TechnischeImplementierung/FHIRProfile?version=2026.0.0
3	MIIIGModulConsent/TechnischeImplementierung/Terminologien	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/TechnischeImplementierung/Terminologien?version=2026.0.0
4	MIIIGModulConsent/TechnischeImplementierung/FHIRProfile/Consent	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/TechnischeImplementierung/FHIRProfile/Consent?version=2026.0.0
4	MIIIGModulConsent/TechnischeImplementierung/FHIRProfile/DocumentReference	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/TechnischeImplementierung/FHIRProfile/DocumentReference?version=2026.0.0
4	MIIIGModulConsent/TechnischeImplementierung/FHIRProfile/Empfehlungen-zur-praktischen-Anwendung	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/TechnischeImplementierung/FHIRProfile/Empfehlungen-zur-praktischen-Anwendung?version=2026.0.0
4	MIIIGModulConsent/TechnischeImplementierung/FHIRProfile/Provenance	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/TechnischeImplementierung/FHIRProfile/Provenance?version=2026.0.0
4	MIIIGModulConsent/TechnischeImplementierung/FHIRProfile/WeitererelevanteProfile	https://simplifier.net/guide/miiigmodulconsent/MIIIGModulConsent/TechnischeImplementierung/FHIRProfile/WeitererelevanteProfile?version=2026.0.0
